Customer Segment	RFM Score	M_quantile	F_quantile	R_quantitle	last_to_present	Total Paid	CustomerID	Quantity	InvoiceNo
Normal	344	4	4	3	216	90.6	14353	64	6
Normal	223	3	2	2	148	499.68	14958	129	42
Normal	334	4	3	3	256	277.07	13803	121	17
Best Customer	111	1	1	1	4	12627.94	13078	5630	358
Normal	223	3	2	2	172	492.36	15507	162	46
Best Customer	111	1	1	1	31	10526.32	17865	5757	370
Normal	222	2	2	2	176	1564.56	17204	646	57
Normal	133	3	3	1	79	301.72	16715	642	19
Normal	122	2	2	1	85	842.5	16108	615	48
Newest Customer	144	4	4	1	23	287.62	17080	166	8
Newest Customer	142	2	4	1	33	714.96	15330	1312	13
Normal	122	2	2	1	58	1295.3	16224	1116	96
Churn Customer	444	4	4	4	374	233.45	16583	111	14
Newest Customer	142	2	4	1	93	1255	13848	3700	5
"Once Customer, Now Gone"	443	3	4	4	366	300.92	17978	499	12
Best Customer	111	1	1	1	40	2637.38	15752	1978	411
Highest Paying Customer	131	1	3	1	94	2106.52	18093	1392	36
Normal	332	2	3	3	212	816.73	16943	145	33
Best Customer	111	1	1	1	67	3740.07	13552	1417	109
"Once Customer, Now Gone"	443	3	4	4	367	403.25	15221	43	5
Normal	122	2	2	1	6	971.58	17618	331	78
Normal	244	4	4	2	146	80.7	13967	42	2
Loyal Customer	112	2	1	1	20	1314.68	16464	963	236
Normal	244	4	4	2	157	39.24	12977	12	9
Highest Paying Customer	121	1	2	1	9	4301.22	17937	1754	43
Normal	232	2	3	2	132	677.1	13388	282	35
Best Customer	111	1	1	1	54	1786.79	13875	1316	104
Newest Customer	144	4	4	1	4	178.96	16620	88	9
Normal	344	4	4	3	218	76.32	15668	72	1
Normal	133	3	3	1	59	592.9	16203	262	35
Best Customer	111	1	1	1	33	1735.18	17043	998	102
Newest Customer	144	4	4	1	25	213.78	17153	104	14
Normal	332	2	3	3	274	1145.6	16766	536	34
Newest Customer	144	4	4	1	34	148.44	15526	24	4
Normal	133	3	3	1	29	345.82	13091	466	21
Normal	344	4	4	3	184	213.7	14241	146	10
Normal	123	3	2	1	5	348.8	13790	748	45
Best Customer	111	1	1	1	18	3214.69	13268	3658	440
Normal	232	2	3	2	115	653.38	17398	310	38
Best Customer	111	1	1	1	2	20374.28	17675	8360	705
Normal	333	3	3	3	191	334.23	15918	153	40
Normal	124	4	2	1	81	226.35	16777	64	50
Best Customer	111	1	1	1	4	4007.54	14547	2668	366
Newest Customer	142	2	4	1	60	1268.7	15199	396	13
Best Customer	111	1	1	1	8	6784.19	18055	2455	360
Newest Customer	144	4	4	1	58	225.85	14624	162	13
Newest Customer	144	4	4	1	20	90.3	16506	42	3
Normal	344	4	4	3	291	53.5	16349	9	9
Best Customer	111	1	1	1	3	5591.42	12839	3807	314
Normal	122	2	2	1	66	1266.08	13989	1313	41
Highest Paying Customer	121	1	2	1	74	1674.69	17656	1399	82
Best Customer	111	1	1	1	9	2618.23	14262	1645	143
Normal	344	4	4	3	284	79.2	16078	16	1
"Once Customer, Now Gone"	443	3	4	4	373	350.06	13108	298	10
Normal	234	4	3	2	160	155.8	17899	171	32
